,classifier,data_stream,ROC_AUC,ROC_AUC_training,hamming_loss,hamming_loss_training,best_params
0,AdaBoostClassifier,fil01-meta-ecg,0.7130421663301609,0.7646736488563898,0.2178359096313912,0.2134998513232233,"{'columntransformer__num__pca': PCA(n_components=0.9, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 100}"
1,GaussianNB,fil01-meta-ecg,0.6931611389060227,0.6748079103415402,0.23400713436385256,0.2433541480820696,{'columntransformer__num__pca': 'passthrough'}
2,KNeighborsClassifier,fil01-meta-ecg,0.5630889410709348,0.9997110924718777,0.306064209274673,0.0001784121320249777,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 1}"
3,LogisticRegression,fil01-meta-ecg,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1'}"
4,RandomForestClassifier,fil01-meta-ecg,0.6872263712387328,0.9999998702992766,0.23162901307966707,0.00023788284269997027,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 100}"
5,SGDClassifier,fil01-meta-ecg,,,0.2356718192627824,0.2440083258994945,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__alpha': 0.0001, 'onevsrestclassifier__estimator__penalty': 'l2'}"
6,AdaBoostClassifier,fil01-MR-meta-ecg,0.6835515083300873,0.6855712226605976,0.37883472057074913,0.36092774308652986,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 50}"
7,GaussianNB,fil01-MR-meta-ecg,0.5373205524774238,0.5323996521629233,0.7343638525564804,0.7155515908415105,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full')}"
8,KNeighborsClassifier,fil01-MR-meta-ecg,0.5843315949759939,0.5866015389424797,0.3835909631391201,0.37413024085637825,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 1}"
9,LogisticRegression,fil01-MR-meta-ecg,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1'}"
